load_id,source,doc_id,as_at,loaded_at,row_count,applied,notes
1,asic_companies,1,2026-08-01,2026-08-18 03:27:29.057958+00,4433403,t,
4,asx_listed_companies,15,2026-08-18,2026-08-18 03:38:17.279008+00,1834,t,
